,Gene_stable_ID,Gene_stable_ID_version,Gene_name,Display_name,ENSP
7506,ENSG00000177542,ENSG00000177542.11,SLC25A22,SLC25A22,ENSP00000322020
7507,ENSG00000177548,ENSG00000177548.13,RABEP2,RABEP2,ENSP00000350934
7508,ENSG00000177556,ENSG00000177556.12,ATOX1,ATOX1,ENSP00000430598
7509,ENSG00000177565,ENSG00000177565.18,TBL1XR1,TBL1XR1,ENSP00000405574
7510,ENSG00000177570,ENSG00000177570.15,SAMD12,SAMD12,ENSP00000314173
7511,ENSG00000177576,ENSG00000177576.12,C18orf32,C18orf32,ENSP00000464411
7512,ENSG00000177595,ENSG00000177595.19,PIDD1,PIDD1,ENSP00000337797
7513,ENSG00000177613,ENSG00000177613.9,CSTF2T,CSTF2T,ENSP00000332444
7514,ENSG00000177628,ENSG00000177628.16,GBA,GBA,ENSP00000314508
7515,ENSG00000177646,ENSG00000177646.20,ACAD9,ACAD9,ENSP00000312618
7516,ENSG00000177663,ENSG00000177663.14,IL17RA,IL17RA,ENSP00000320936
7517,ENSG00000177666,ENSG00000177666.17,PNPLA2,PNPLA2,ENSP00000337701
7518,ENSG00000177674,ENSG00000177674.16,AGTRAP,AGTRAP,ENSP00000319713
7519,ENSG00000177683,ENSG00000177683.14,THAP5,THAP5,ENSP00000400500
7520,ENSG00000177685,ENSG00000177685.17,CRACR2B,CRACR2B,ENSP00000435299
7521,ENSG00000177697,ENSG00000177697.19,CD151,CD151,ENSP00000380565
7522,ENSG00000177700,ENSG00000177700.6,POLR2L,POLR2L,ENSP00000324124
7523,ENSG00000177721,ENSG00000177721.5,ANXA2R,ANXA2R,ENSP00000315915
7524,ENSG00000177731,ENSG00000177731.16,FLII,FLII,ENSP00000324573
7525,ENSG00000177732,ENSG00000177732.9,SOX12,SOX12,ENSP00000347646
7526,ENSG00000177733,ENSG00000177733.7,HNRNPA0,HNRNPA0,ENSP00000316042
7527,ENSG00000177830,ENSG00000177830.18,CHID1,CHID1,ENSP00000398722
7528,ENSG00000177854,ENSG00000177854.8,TMEM187,TMEM187,ENSP00000358999
7529,ENSG00000177875,ENSG00000177875.5,CCDC184,CCDC184,ENSP00000320849
7530,ENSG00000177879,ENSG00000177879.17,AP3S1,AP3S1,ENSP00000325369
7531,ENSG00000177885,ENSG00000177885.15,GRB2,GRB2,ENSP00000376345
7532,ENSG00000177889,ENSG00000177889.10,UBE2N,UBE2N,ENSP00000316176
7533,ENSG00000177917,ENSG00000177917.11,ARL6IP6,ARL6IP6,ENSP00000315357
7534,ENSG00000177943,ENSG00000177943.14,MAMDC4,MAMDC4,ENSP00000319388
7535,ENSG00000177946,ENSG00000177946.7,CENPBD1,CENPBD1,ENSP00000393854
7536,ENSG00000177951,ENSG00000177951.17,BET1L,BET1L,ENSP00000372210
7537,ENSG00000177963,ENSG00000177963.15,RIC8A,RIC8A,ENSP00000325941
7538,ENSG00000177971,ENSG00000177971.9,IMP3,IMP3,ENSP00000326981
7539,ENSG00000177981,ENSG00000177981.11,ASB8,ASB8,ENSP00000320893
7540,ENSG00000177989,ENSG00000177989.14,ODF3B,ODF3B,ENSP00000382804
7541,ENSG00000178028,ENSG00000178028.14,DMAP1,DMAP1,ENSP00000361363
7542,ENSG00000178035,ENSG00000178035.13,IMPDH2,IMPDH2,ENSP00000321584
7543,ENSG00000178057,ENSG00000178057.15,NDUFAF3,NDUFAF3,ENSP00000323076
7544,ENSG00000178074,ENSG00000178074.6,C2orf69,C2orf69,ENSP00000312770
7545,ENSG00000178078,ENSG00000178078.12,STAP2,STAP2,ENSP00000468927
7546,ENSG00000178096,ENSG00000178096.9,BOLA1,BOLA1,ENSP00000358149
7547,ENSG00000178104,ENSG00000178104.19,PDE4DIP,PDE4DIP,ENSP00000358363
7548,ENSG00000178105,ENSG00000178105.11,DDX10,DDX10,ENSP00000314348
7549,ENSG00000178127,ENSG00000178127.13,NDUFV2,NDUFV2,ENSP00000327268
7550,ENSG00000178149,ENSG00000178149.17,DALRD3,DALRD3,ENSP00000344989
7551,ENSG00000178163,ENSG00000178163.8,ZNF518B,ZNF518B,ENSP00000317614
7552,ENSG00000178177,ENSG00000178177.16,LCORL,LCORL,ENSP00000371661
7553,ENSG00000178188,ENSG00000178188.15,SH2B1,SH2B1,ENSP00000321221
7554,ENSG00000178209,ENSG00000178209.16,PLEC,PLEC,ENSP00000323856
7555,ENSG00000178226,ENSG00000178226.11,PRSS36,PRSS36,ENSP00000268281
7556,ENSG00000178229,ENSG00000178229.8,ZNF543,ZNF543,ENSP00000322545
7557,ENSG00000178234,ENSG00000178234.13,GALNT11,GALNT11,ENSP00000416787
7558,ENSG00000178252,ENSG00000178252.18,WDR6,WDR6,ENSP00000378857
7559,ENSG00000178295,ENSG00000178295.15,GEN1,GEN1,ENSP00000318977
7560,ENSG00000178307,ENSG00000178307.10,TMEM11,TMEM11,ENSP00000319992
7561,ENSG00000178338,ENSG00000178338.11,ZNF354B,ZNF354B,ENSP00000327143
7562,ENSG00000178381,ENSG00000178381.12,ZFAND2A,ZFAND2A,ENSP00000314619
7563,ENSG00000178397,ENSG00000178397.13,FAM220A,FAM220A,ENSP00000317289
7564,ENSG00000178425,ENSG00000178425.14,NT5DC1,NT5DC1,ENSP00000326858
7565,ENSG00000178449,ENSG00000178449.9,COX14,COX14,ENSP00000446524
7566,ENSG00000178467,ENSG00000178467.18,P4HTM,P4HTM,ENSP00000341422
7567,ENSG00000178498,ENSG00000178498.16,DTX3,DTX3,ENSP00000448696
7568,ENSG00000178502,ENSG00000178502.6,KLHL11,KLHL11,ENSP00000314608
7569,ENSG00000178537,ENSG00000178537.10,SLC25A20,SLC25A20,ENSP00000326305
7570,ENSG00000178567,ENSG00000178567.8,EPM2AIP1,EPM2AIP1,ENSP00000406027
7571,ENSG00000178585,ENSG00000178585.15,CTNNBIP1,CTNNBIP1,ENSP00000366474
7572,ENSG00000178605,ENSG00000178605.13,GTPBP6,GTPBP6,ENSP00000316598
7573,ENSG00000178607,ENSG00000178607.17,ERN1,ERN1,ENSP00000401445
7574,ENSG00000178623,ENSG00000178623.12,GPR35,GPR35,ENSP00000411788
7575,ENSG00000178665,ENSG00000178665.16,ZNF713,ZNF713,ENSP00000416662
7576,ENSG00000178685,ENSG00000178685.14,PARP10,PARP10,ENSP00000325618
7577,ENSG00000178691,ENSG00000178691.11,SUZ12,SUZ12,ENSP00000316578
7578,ENSG00000178694,ENSG00000178694.10,NSUN3,NSUN3,ENSP00000318986
7579,ENSG00000178695,ENSG00000178695.6,KCTD12,KCTD12,ENSP00000366694
7580,ENSG00000178718,ENSG00000178718.7,RPP25,RPP25,ENSP00000317691
7581,ENSG00000178719,ENSG00000178719.17,GRINA,GRINA,ENSP00000314380
7582,ENSG00000178741,ENSG00000178741.12,COX5A,COX5A,ENSP00000317780
7583,ENSG00000178761,ENSG00000178761.15,FAM219B,FAM219B,ENSP00000350260
7584,ENSG00000178764,ENSG00000178764.8,ZHX2,ZHX2,ENSP00000314709
7585,ENSG00000178802,ENSG00000178802.18,MPI,MPI,ENSP00000318318
7586,ENSG00000178878,ENSG00000178878.13,APOLD1,APOLD1,ENSP00000324277
7587,ENSG00000178896,ENSG00000178896.9,EXOSC4,EXOSC4,ENSP00000315476
7588,ENSG00000178913,ENSG00000178913.8,TAF7,TAF7,ENSP00000312709
7589,ENSG00000178917,ENSG00000178917.17,ZNF852,ZNF852,ENSP00000389841
7590,ENSG00000178921,ENSG00000178921.14,PFAS,PFAS,ENSP00000313490
7591,ENSG00000178922,ENSG00000178922.18,HYI,HYI,ENSP00000361502
7592,ENSG00000178935,ENSG00000178935.5,ZNF552,ZNF552,ENSP00000375582
7593,ENSG00000178950,ENSG00000178950.17,GAK,GAK,ENSP00000314499
7594,ENSG00000178951,ENSG00000178951.9,ZBTB7A,ZBTB7A,ENSP00000323670
7595,ENSG00000178952,ENSG00000178952.11,TUFM,TUFM,ENSP00000322439
7596,ENSG00000178966,ENSG00000178966.17,RMI1,RMI1,ENSP00000317039
7597,ENSG00000178971,ENSG00000178971.16,CTC1,CTC1,ENSP00000313759
7598,ENSG00000178974,ENSG00000178974.11,FBXO34,FBXO34,ENSP00000313159
7599,ENSG00000178988,ENSG00000178988.11,MRFAP1L1,MRFAP1L1,ENSP00000318154
7600,ENSG00000178996,ENSG00000178996.14,SNX18,SNX18,ENSP00000317332
7601,ENSG00000179010,ENSG00000179010.15,MRFAP1,MRFAP1,ENSP00000318352
7602,ENSG00000179021,ENSG00000179021.10,C3orf38,C3orf38,ENSP00000322469
7603,ENSG00000179029,ENSG00000179029.15,TMEM107,TMEM107,ENSP00000314116
7604,ENSG00000179041,ENSG00000179041.4,RRS1,RRS1,ENSP00000322396
7605,ENSG00000179051,ENSG00000179051.14,RCC2,RCC2,ENSP00000364585
7606,ENSG00000179057,ENSG00000179057.14,IGSF22,IGSF22,ENSP00000421191
7607,ENSG00000179085,ENSG00000179085.8,DPM3,DPM3,ENSP00000357384
7608,ENSG00000179088,ENSG00000179088.15,C12orf42,C12orf42,ENSP00000367353
7609,ENSG00000179091,ENSG00000179091.5,CYC1,CYC1,ENSP00000317159
7610,ENSG00000179094,ENSG00000179094.16,PER1,PER1,ENSP00000314420
